glyph,unicode,sjeng,xu,hey,tonk,dew,polyhedron中古全拼,fanqie
䅲,U+4172,群,開,脂A,三,平,gjii,渠脂
祁,U+7941,群,開,脂A,三,平,gjii,渠脂
𨪌,U+28A8C,群,開,脂A,三,平,gjii,渠脂
鰭,U+9C2D,群,開,脂A,三,平,gjii,渠脂
鮨,U+9BA8,群,開,脂A,三,平,gjii,渠脂
伊,U+4F0A,影,開,脂A,三,平,qjii,於脂
咿,U+54BF,影,開,脂A,三,平,qjii,於脂
𧉅,U+27245,影,開,脂A,三,平,qjii,於脂
黝,U+9EDD,影,開,脂A,三,平,qjii,於脂
黟,U+9EDF,影,開,脂A,三,平,qjii,於脂
棃,U+68C3,來,開,脂A,三,平,lii,力脂
梨,U+68A8,來,開,脂A,三,平,lii,力脂
𠠍,U+2080D,來,開,脂A,三,平,lii,力脂
秜,U+79DC,來,開,脂A,三,平,lii,力脂
蜊,U+870A,來,開,脂A,三,平,lii,力脂
蔾,U+853E,來,開,脂A,三,平,lii,力脂
犂,U+7282,來,開,脂A,三,平,lii,力脂
刕,U+5215,來,開,脂A,三,平,lii,力脂
𢤂,U+22902,來,開,脂A,三,平,lii,力脂
鯬,U+9BEC,來,開,脂A,三,平,lii,力脂
鑗,U+9457,來,開,脂A,三,平,lii,力脂
䴻,U+4D3B,來,開,脂A,三,平,lii,力脂
蟍,U+87CD,來,開,脂A,三,平,lii,力脂
𠠍,U+2080D,來,開,脂A,三,平,lii,力脂
葵,U+8475,群,合,脂A,三,平,gjyi,渠隹
鄈,U+9108,群,合,脂A,三,平,gjyi,渠隹
楑,U+6951,群,合,脂A,三,平,gjyi,渠隹
𩹍,U+29E4D,群,合,脂A,三,平,gjyi,渠隹
𢜽,U+2273D,群,合,脂A,三,平,gjyi,渠隹
𦝢,U+26762,群,合,脂A,三,平,gjyi,渠隹
䳫,U+4CEB,群,合,脂A,三,平,gjyi,渠隹
𧍜,U+2735C,群,合,脂A,三,平,gjyi,渠隹
追,U+8FFD,知,合,脂B,三,平,tryi,陟隹
䨨,U+4A28,知,合,脂B,三,平,tryi,陟隹
娺,U+5A3A,知,合,脂B,三,平,tryi,陟隹
龜,U+9F9C,見,合,脂B,三,平,kyi,居追
𪚦,U+2A6A6,見,合,脂B,三,平,kyi,居追
𤕣,U+24563,見,合,脂B,三,平,kyi,居追
䟸,U+47F8,見,合,脂B,三,平,kyi,居追
螝,U+879D,見,合,脂B,三,平,kyi,居追
騩,U+9A29,見,合,脂B,三,平,kyi,居追
蕤,U+8564,日,合,脂A,三,平,njyi,儒隹
甤,U+7524,日,合,脂A,三,平,njyi,儒隹
緌,U+7DCC,日,合,脂A,三,平,njyi,儒隹
擩,U+64E9,日,合,脂A,三,平,njyi,儒隹
桵,U+6875,日,合,脂A,三,平,njyi,儒隹
䅑,U+4151,日,合,脂A,三,平,njyi,儒隹
捼,U+637C,日,合,脂A,三,平,njyi,儒隹
衰,U+8870,生,合,脂B,三,平,sryi,所追
榱,U+69B1,生,合,脂B,三,平,sryi,所追
𤸬,U+24E2C,生,合,脂B,三,平,sryi,所追
惟,U+60DF,以,合,脂A,三,平,jyi,以追
𣄧,U+23127,以,合,脂A,三,平,jyi,以追
維,U+7DAD,以,合,脂A,三,平,jyi,以追
遺,U+907A,以,合,脂A,三,平,jyi,以追
濰,U+6FF0,以,合,脂A,三,平,jyi,以追
壝,U+58DD,以,合,脂A,三,平,jyi,以追
𥌰,U+25330,以,合,脂A,三,平,jyi,以追
蓶,U+84F6,以,合,脂A,三,平,jyi,以追
䜅,U+4705,以,合,脂A,三,平,jyi,以追
琟,U+741F,以,合,脂A,三,平,jyi,以追
唯,U+552F,以,合,脂A,三,平,jyi,以追
𧔥,U+27525,以,合,脂A,三,平,jyi,以追
㶟,U+3D9F,來,合,脂A,三,平,lyi,力追
纍,U+7E8D,來,合,脂A,三,平,lyi,力追
虆,U+8646,來,合,脂A,三,平,lyi,力追
欙,U+6B19,來,合,脂A,三,平,lyi,力追
𤜖,U+24716,來,合,脂A,三,平,lyi,力追
𡿔,U+21FD4,來,合,脂A,三,平,lyi,力追
㠥,U+3825,來,合,脂A,三,平,lyi,力追
𡤯,U+2192F,來,合,脂A,三,平,lyi,力追
瓃,U+74C3,來,合,脂A,三,平,lyi,力追
𥍔,U+25354,來,合,脂A,三,平,lyi,力追
鸓,U+9E13,來,合,脂A,三,平,lyi,力追
儽,U+513D,來,合,脂A,三,平,lyi,力追
纝,U+7E9D,來,合,脂A,三,平,lyi,力追
綏,U+7D8F,心,合,脂A,三,平,syi,息遺
雖,U+96D6,心,合,脂A,三,平,syi,息遺
荾,U+837E,心,合,脂A,三,平,syi,息遺
荽,U+837D,心,合,脂A,三,平,syi,息遺
䒘,U+4498,心,合,脂A,三,平,syi,息遺
葰,U+8470,心,合,脂A,三,平,syi,息遺
浽,U+6D7D,心,合,脂A,三,平,syi,息遺
奞,U+595E,心,合,脂A,三,平,syi,息遺
夊,U+590A,心,合,脂A,三,平,syi,息遺
睢,U+7762,心,合,脂A,三,平,syi,息遺
濉,U+6FC9,心,合,脂A,三,平,syi,息遺
䅑,U+4151,心,合,脂A,三,平,syi,息遺
逵,U+9035,群,合,脂B,三,平,gyi,渠追
夔,U+5914,群,合,脂B,三,平,gyi,渠追
𣦞,U+2399E,群,合,脂B,三,平,gyi,渠追
馗,U+9997,群,合,脂B,三,平,gyi,渠追
戣,U+6223,群,合,脂B,三,平,gyi,渠追
鍨,U+9368,群,合,脂B,三,平,gyi,渠追
騤,U+9A24,群,合,脂B,三,平,gyi,渠追
犪,U+72AA,群,合,脂B,三,平,gyi,渠追
躨,U+8EA8,群,合,脂B,三,平,gyi,渠追
𦝢,U+26762,群,合,脂B,三,平,gyi,渠追
艽,U+827D,群,合,脂B,三,平,gyi,渠追
䟸,U+47F8,群,合,脂B,三,平,gyi,渠追
𠊾,U+202BE,群,合,脂B,三,平,gyi,渠追
𨾗,U+28F97,群,合,脂B,三,平,gyi,渠追
頯,U+982F,群,合,脂B,三,平,gyi,渠追
𠐽,U+2043D,群,合,脂B,三,平,gyi,渠追
𧢦,U+278A6,群,合,脂B,三,平,gyi,渠追
𢌳,U+22333,群,合,脂B,三,平,gyi,渠追
頄,U+9804,群,合,脂B,三,平,gyi,渠追
眉,U+7709,明,開,脂B,三,平,mii,武悲
睂,U+7742,明,開,脂B,三,平,mii,武悲
嵋,U+5D4B,明,開,脂B,三,平,mii,武悲
湄,U+6E44,明,開,脂B,三,平,mii,武悲
𤃱,U+240F1,明,開,脂B,三,平,mii,武悲
鶥,U+9DA5,明,開,脂B,三,平,mii,武悲
楣,U+6963,明,開,脂B,三,平,mii,武悲
瑂,U+7442,明,開,脂B,三,平,mii,武悲
矀,U+77C0,明,開,脂B,三,平,mii,武悲
覹,U+89B9,明,開,脂B,三,平,mii,武悲
䉠,U+4260,明,開,脂B,三,平,mii,武悲
黴,U+9EF4,明,開,脂B,三,平,mii,武悲
麋,U+9E8B,明,開,脂B,三,平,mii,武悲
蘪,U+862A,明,開,脂B,三,平,mii,武悲
郿,U+90FF,明,開,脂B,三,平,mii,武悲
㵟,U+3D5F,明,開,脂B,三,平,mii,武悲
薇,U+8587,明,開,脂B,三,平,mii,武悲
𦗕,U+265D5,明,開,脂B,三,平,mii,武悲
葿,U+847F,明,開,脂B,三,平,mii,武悲
攗,U+6517,明,開,脂B,三,平,mii,武悲
悲,U+60B2,幫,開,脂B,三,平,pii,府眉
錐,U+9310,章,合,脂A,三,平,cjyi,職追
隹,U+96B9,章,合,脂A,三,平,cjyi,職追
𪋇,U+2A2C7,章,合,脂A,三,平,cjyi,職追
騅,U+9A05,章,合,脂A,三,平,cjyi,職追
㮅,U+3B85,章,合,脂A,三,平,cjyi,職追
䶆,U+4D86,章,合,脂A,三,平,cjyi,職追
萑,U+8411,章,合,脂A,三,平,cjyi,職追
鵻,U+9D7B,章,合,脂A,三,平,cjyi,職追
誰,U+8AB0,常,合,脂A,三,平,zjyi,視隹
䜅,U+4705,常,合,脂A,三,平,zjyi,視隹
脽,U+813D,常,合,脂A,三,平,zjyi,視隹
帷,U+5E37,云,合,脂B,三,平,yi,洧悲
邳,U+90B3,並,開,脂B,三,平,bii,符悲
鉟,U+925F,並,開,脂B,三,平,bii,符悲
䲹,U+4CB9,並,開,脂B,三,平,bii,符悲
岯,U+5CAF,並,開,脂B,三,平,bii,符悲
魾,U+9B7E,並,開,脂B,三,平,bii,符悲
䫠,U+4AE0,並,開,脂B,三,平,bii,符悲
丕,U+4E15,滂,開,脂B,三,平,phii,敷悲
㔻,U+353B,滂,開,脂B,三,平,phii,敷悲
伾,U+4F3E,滂,開,脂B,三,平,phii,敷悲
秠,U+79E0,滂,開,脂B,三,平,phii,敷悲
䪹,U+4AB9,滂,開,脂B,三,平,phii,敷悲
駓,U+99D3,滂,開,脂B,三,平,phii,敷悲
怌,U+600C,滂,開,脂B,三,平,phii,敷悲
䫠,U+4AE0,滂,開,脂B,三,平,phii,敷悲
豾,U+8C7E,滂,開,脂B,三,平,phii,敷悲
髬,U+9AEC,滂,開,脂B,三,平,phii,敷悲
魾,U+9B7E,滂,開,脂B,三,平,phii,敷悲
鉟,U+925F,滂,開,脂B,三,平,phii,敷悲
倠,U+5020,曉,合,脂A,三,平,hjyi,許維
婎,U+5A4E,曉,合,脂A,三,平,hjyi,許維
睢,U+7762,曉,合,脂A,三,平,hjyi,許維
眭,U+772D,曉,合,脂A,三,平,hjyi,許維
𢊄,U+22284,曉,合,脂A,三,平,hjyi,許維
㊀,U+3280,曉,合,脂A,三,平,hjyi,許維
鎚,U+939A,澄,合,脂B,三,平,dryi,直追
椎,U+690E,澄,合,脂B,三,平,dryi,直追
槌,U+69CC,澄,合,脂B,三,平,dryi,直追
桘,U+6858,澄,合,脂B,三,平,dryi,直追
顀,U+9840,澄,合,脂B,三,平,dryi,直追
胝,U+80DD,知,開,脂B,三,平,trii,丁尼
疷,U+75B7,知,開,脂B,三,平,trii,丁尼
秪,U+79EA,知,開,脂B,三,平,trii,丁尼
氐,U+6C10,知,開,脂B,三,平,trii,丁尼
紕,U+7D15,滂,開,脂A,三,平,phjii,匹夷
㩺,U+3A7A,滂,開,脂A,三,平,phjii,匹夷
𦀘,U+26018,滂,開,脂A,三,平,phjii,匹夷
𧧺,U+279FA,滂,開,脂A,三,平,phjii,匹夷
悂,U+6082,滂,開,脂A,三,平,phjii,匹夷
𢞗,U+22797,滂,開,脂A,三,平,phjii,匹夷
嶉,U+5D89,精,合,脂A,三,平,cyi,醉綏
檇,U+6A87,精,合,脂A,三,平,cyi,醉綏
巋,U+5DCB,溪,合,脂B,三,平,khyi,丘追
蘬,U+862C,溪,合,脂B,三,平,khyi,丘追
狋,U+72CB,疑,開,脂A,三,平,ngjii,牛肌
咦,U+54A6,曉,開,脂A,三,平,hjii,喜夷
忾,U+5FFE,曉,開,脂A,三,平,hjii,喜夷
䐅,U+4405,曉,開,脂A,三,平,hjii,喜夷
𣢂,U+23882,曉,開,脂A,三,平,hjii,喜夷
屎,U+5C4E,曉,開,脂A,三,平,hjii,喜夷
之,U+4E4B,章,開,之,三,平,cji,止而
臸,U+81F8,章,開,之,三,平,cji,止而
芝,U+829D,章,開,之,三,平,cji,止而
㞢,U+37A2,章,開,之,三,平,cji,止而
飴,U+98F4,以,開,之,三,平,ji,與之
𩛛,U+296DB,以,開,之,三,平,ji,與之
䬮,U+4B2E,以,開,之,三,平,ji,與之
怡,U+6021,以,開,之,三,平,ji,與之
弬,U+5F2C,以,開,之,三,平,ji,與之
媐,U+5A90,以,開,之,三,平,ji,與之
异,U+5F02,以,開,之,三,平,ji,與之
㼢,U+3F22,以,開,之,三,平,ji,與之
𣐵,U+23435,以,開,之,三,平,ji,與之
鏔,U+93D4,以,開,之,三,平,ji,與之
圯,U+572F,以,開,之,三,平,ji,與之
貽,U+8CBD,以,開,之,三,平,ji,與之
巸,U+5DF8,以,開,之,三,平,ji,與之
洍,U+6D0D,以,開,之,三,平,ji,與之
𦣝,U+268DD,以,開,之,三,平,ji,與之
𩠞,U+2981E,以,開,之,三,平,ji,與之
頤,U+9824,以,開,之,三,平,ji,與之
詒,U+8A52,以,開,之,三,平,ji,與之
㺿,U+3EBF,以,開,之,三,平,ji,與之
沶,U+6CB6,以,開,之,三,平,ji,與之
宧,U+5BA7,以,開,之,三,平,ji,與之
𦚟,U+2669F,以,開,之,三,平,ji,與之
䱌,U+4C4C,以,開,之,三,平,ji,與之
姬,U+59EC,以,開,之,三,平,ji,與之
台,U+53F0,以,開,之,三,平,ji,與之
眙,U+7719,以,開,之,三,平,ji,與之
瓵,U+74F5,以,開,之,三,平,ji,與之
時,U+6642,常,開,之,三,平,zji,市之
旹,U+65F9,常,開,之,三,平,zji,市之
塒,U+5852,常,開,之,三,平,zji,市之
鼭,U+9F2D,常,開,之,三,平,zji,市之
榯,U+69AF,常,開,之,三,平,zji,市之
蒔,U+8494,常,開,之,三,平,zji,市之
鰣,U+9C23,常,開,之,三,平,zji,市之
疑,U+7591,疑,開,之,三,平,ngi,語其
嶷,U+5DB7,疑,開,之,三,平,ngi,語其
觺,U+89FA,疑,開,之,三,平,ngi,語其
思,U+601D,心,開,之,三,平,si,息兹
恖,U+6056,心,開,之,三,平,si,息兹
司,U+53F8,心,開,之,三,平,si,息兹
罳,U+7F73,心,開,之,三,平,si,息兹
伺,U+4F3A,心,開,之,三,平,si,息兹
絲,U+7D72,心,開,之,三,平,si,息兹
緦,U+7DE6,心,開,之,三,平,si,息兹
𥯨,U+25BE8,心,開,之,三,平,si,息兹
禗,U+7997,心,開,之,三,平,si,息兹
覗,U+8997,心,開,之,三,平,si,息兹
㺇,U+3E87,心,開,之,三,平,si,息兹
𥄶,U+25136,心,開,之,三,平,si,息兹
蕬,U+856C,心,開,之,三,平,si,息兹
偲,U+5072,心,開,之,三,平,si,息兹
楒,U+6952,心,開,之,三,平,si,息兹
輜,U+8F1C,初,開,之,三,平,chri,楚持
颸,U+98B8,初,開,之,三,平,chri,楚持
其,U+5176,群,開,之,三,平,gi,渠之
期,U+671F,群,開,之,三,平,gi,渠之
旗,U+65D7,群,開,之,三,平,gi,渠之
綦,U+7DA6,群,開,之,三,平,gi,渠之
綨,U+7DA8,群,開,之,三,平,gi,渠之
𢃛,U+220DB,群,開,之,三,平,gi,渠之
萁,U+8401,群,開,之,三,平,gi,渠之
𧯯,U+27BEF,群,開,之,三,平,gi,渠之
蜝,U+871D,群,開,之,三,平,gi,渠之
琪,U+742A,群,開,之,三,平,gi,渠之
麒,U+9E92,群,開,之,三,平,gi,渠之
騏,U+9A0F,群,開,之,三,平,gi,渠之
淇,U+6DC7,群,開,之,三,平,gi,渠之
䳢,U+4CE2,群,開,之,三,平,gi,渠之
錤,U+9324,群,開,之,三,平,gi,渠之
藄,U+85C4,群,開,之,三,平,gi,渠之
棊,U+68CA,群,開,之,三,平,gi,渠之
櫀,U+6AC0,群,開,之,三,平,gi,渠之
碁,U+7881,群,開,之,三,平,gi,渠之
𤪌,U+24A8C,群,開,之,三,平,gi,渠之
璂,U+7482,群,開,之,三,平,gi,渠之
鯕,U+9BD5,群,開,之,三,平,gi,渠之
蘄,U+8604,群,開,之,三,平,gi,渠之
祺,U+797A,群,開,之,三,平,gi,渠之
禥,U+79A5,群,開,之,三,平,gi,渠之
踑,U+8E11,群,開,之,三,平,gi,渠之
𦪆,U+26A86,群,開,之,三,平,gi,渠之
䑴,U+4474,群,開,之,三,平,gi,渠之
畁,U+7541,群,開,之,三,平,gi,渠之
䶞,U+4D9E,群,開,之,三,平,gi,渠之
詩,U+8A69,書,開,之,三,平,sji,書之
邿,U+90BF,書,開,之,三,平,sji,書之
齝,U+9F5D,書,開,之,三,平,sji,書之
𪗪,U+2A5EA,書,開,之,三,平,sji,書之
呞,U+545E,書,開,之,三,平,sji,書之
䀢,U+4022,書,開,之,三,平,sji,書之
而,U+800C,日,開,之,三,平,nji,如之
栭,U+682D,日,開,之,三,平,nji,如之
𣚊,U+2368A,日,開,之,三,平,nji,如之
𨼏,U+28F0F,日,開,之,三,平,nji,如之
陾,U+967E,日,開,之,三,平,nji,如之
陑,U+9651,日,開,之,三,平,nji,如之
髵,U+9AF5,日,開,之,三,平,nji,如之
峏,U+5CCF,日,開,之,三,平,nji,如之
𨎪,U+283AA,日,開,之,三,平,nji,如之
輀,U+8F00,日,開,之,三,平,nji,如之
𦠌,U+2680C,日,開,之,三,平,nji,如之
胹,U+80F9,日,開,之,三,平,nji,如之
𦓒,U+264D2,日,開,之,三,平,nji,如之
𩰴,U+29C34,日,開,之,三,平,nji,如之
洏,U+6D0F,日,開,之,三,平,nji,如之
鮞,U+9B9E,日,開,之,三,平,nji,如之
耏,U+800F,日,開,之,三,平,nji,如之
咡,U+54A1,日,開,之,三,平,nji,如之
䎠,U+43A0,日,開,之,三,平,nji,如之
誀,U+8A80,日,開,之,三,平,nji,如之
鴯,U+9D2F,日,開,之,三,平,nji,如之
欺,U+6B3A,溪,開,之,三,平,khi,去其
娸,U+5A38,溪,開,之,三,平,khi,去其
䫥,U+4AE5,溪,開,之,三,平,khi,去其
䫏,U+4ACF,溪,開,之,三,平,khi,去其
𠐾,U+2043E,溪,開,之,三,平,khi,去其
魌,U+9B4C,溪,開,之,三,平,khi,去其
僛,U+50DB,溪,開,之,三,平,khi,去其
𪅾,U+2A17E,溪,開,之,三,平,khi,去其
𪀩,U+2A029,溪,開,之,三,平,khi,去其
䶞,U+4D9E,溪,開,之,三,平,khi,去其
抾,U+62BE,溪,開,之,三,平,khi,去其
姬,U+59EC,見,開,之,三,平,ki,居之
朞,U+671E,見,開,之,三,平,ki,居之
稘,U+7A18,見,開,之,三,平,ki,居之
基,U+57FA,見,開,之,三,平,ki,居之
箕,U+7B95,見,開,之,三,平,ki,居之
萁,U+8401,見,開,之,三,平,ki,居之
䇫,U+41EB,見,開,之,三,平,ki,居之
諅,U+8AC5,見,開,之,三,平,ki,居之
其,U+5176,見,開,之,三,平,ki,居之
錤,U+9324,見,開,之,三,平,ki,居之
居,U+5C45,見,開,之,三,平,ki,居之
諆,U+8AC6,見,開,之,三,平,ki,居之
詞,U+8A5E,邪,開,之,三,平,zsi,似兹
祠,U+7960,邪,開,之,三,平,zsi,似兹
柌,U+67CC,邪,開,之,三,平,zsi,似兹
辭,U+8FAD,邪,開,之,三,平,zsi,似兹
辤,U+8FA4,邪,開,之,三,平,zsi,似兹
辝,U+8F9D,邪,開,之,三,平,zsi,似兹
𥿆,U+25FC6,邪,開,之,三,平,zsi,似兹
釐,U+91D0,來,開,之,三,平,li,里之
貍,U+8C8D,來,開,之,三,平,li,里之
狸,U+72F8,來,開,之,三,平,li,里之
氂,U+6C02,來,開,之,三,平,li,里之
嫠,U+5AE0,來,開,之,三,平,li,里之
剺,U+527A,來,開,之,三,平,li,里之
梩,U+68A9,來,開,之,三,平,li,里之
犛,U+729B,來,開,之,三,平,li,里之
𣁟,U+2305F,來,開,之,三,平,li,里之
倈,U+5008,來,開,之,三,平,li,里之
艃,U+8243,來,開,之,三,平,li,里之
𣮉,U+23B89,來,開,之,三,平,li,里之
孷,U+5B77,來,開,之,三,平,li,里之
𢟤,U+227E4,來,開,之,三,平,li,里之
𩭇,U+29B47,來,開,之,三,平,li,里之
㾖,U+3F96,來,開,之,三,平,li,里之
筣,U+7B63,來,開,之,三,平,li,里之
斄,U+6584,來,開,之,三,平,li,里之
𠩬,U+20A6C,來,開,之,三,平,li,里之
𠭰,U+20B70,來,開,之,三,平,li,里之
葘,U+8458,莊,開,之,三,平,cri,側持
甾,U+753E,莊,開,之,三,平,cri,側持
𦸜,U+26E1C,莊,開,之,三,平,cri,側持
湽,U+6E7D,莊,開,之,三,平,cri,側持
𥀜,U+2501C,莊,開,之,三,平,cri,側持
茬,U+832C,莊,開,之,三,平,cri,側持
輺,U+8F3A,莊,開,之,三,平,cri,側持
鍿,U+937F,莊,開,之,三,平,cri,側持
鶅,U+9D85,莊,開,之,三,平,cri,側持
緇,U+7DC7,莊,開,之,三,平,cri,側持
䊷,U+42B7,莊,開,之,三,平,cri,側持
椔,U+6914,莊,開,之,三,平,cri,側持
鯔,U+9BD4,莊,開,之,三,平,cri,側持
䎩,U+43A9,莊,開,之,三,平,cri,側持
䣎,U+48CE,莊,開,之,三,平,cri,側持
僖,U+50D6,曉,開,之,三,平,hi,許其
歖,U+6B56,曉,開,之,三,平,hi,許其
熙,U+7199,曉,開,之,三,平,hi,許其
嬉,U+5B09,曉,開,之,三,平,hi,許其
禧,U+79A7,曉,開,之,三,平,hi,許其
媐,U+5A90,曉,開,之,三,平,hi,許其
譆,U+8B46,曉,開,之,三,平,hi,許其
𠩺,U+20A7A,曉,開,之,三,平,hi,許其
瞦,U+77A6,曉,開,之,三,平,hi,許其
㶼,U+3DBC,曉,開,之,三,平,hi,許其
熹,U+71B9,曉,開,之,三,平,hi,許其
嘻,U+563B,曉,開,之,三,平,hi,許其
𣢑,U+23891,曉,開,之,三,平,hi,許其
娭,U+5A2D,曉,開,之,三,平,hi,許其
誒,U+8A92,曉,開,之,三,平,hi,許其
醫,U+91AB,影,開,之,三,平,qi,於其
毉,U+6BC9,影,開,之,三,平,qi,於其
譩,U+8B69,影,開,之,三,平,qi,於其
㿄,U+3FC4,影,開,之,三,平,qi,於其
噫,U+566B,影,開,之,三,平,qi,於其
癡,U+7661,徹,開,之,三,平,thri,丑之
齝,U+9F5D,徹,開,之,三,平,thri,丑之
笞,U+7B1E,徹,開,之,三,平,thri,丑之
痴,U+75F4,徹,開,之,三,平,thri,丑之
治,U+6CBB,澄,開,之,三,平,dri,直之
持,U+6301,澄,開,之,三,平,dri,直之
莉,U+8389,澄,開,之,三,平,dri,直之
蚩,U+86A9,昌,開,之,三,平,chji,赤之
嗤,U+55E4,昌,開,之,三,平,chji,赤之
妛,U+599B,昌,開,之,三,平,chji,赤之
媸,U+5AB8,昌,開,之,三,平,chji,赤之
𦐉,U+26409,昌,開,之,三,平,chji,赤之
𣍆,U+23346,昌,開,之,三,平,chji,赤之
𥉍,U+2524D,昌,開,之,三,平,chji,赤之
慈,U+6148,從,開,之,三,平,zi,疾之
礠,U+7920,從,開,之,三,平,zi,疾之
鶿,U+9DBF,從,開,之,三,平,zi,疾之
濨,U+6FE8,從,開,之,三,平,zi,疾之
兹,U+5179,從,開,之,三,平,zi,疾之
兹,U+5179,精,開,之,三,平,ci,子之
孳,U+5B73,精,開,之,三,平,ci,子之
嵫,U+5D6B,精,開,之,三,平,ci,子之
孜,U+5B5C,精,開,之,三,平,ci,子之
滋,U+6ECB,精,開,之,三,平,ci,子之
嗞,U+55DE,精,開,之,三,平,ci,子之
𪑿,U+2A47F,精,開,之,三,平,ci,子之
鎡,U+93A1,精,開,之,三,平,ci,子之
孖,U+5B56,精,開,之,三,平,ci,子之
鼒,U+9F12,精,開,之,三,平,ci,子之
鰦,U+9C26,精,開,之,三,平,ci,子之
仔,U+4ED4,精,開,之,三,平,ci,子之
鷀,U+9DC0,精,開,之,三,平,ci,子之
稵,U+7A35,精,開,之,三,平,ci,子之
茬,U+832C,崇,開,之,三,平,zri,士之
漦,U+6F26,俟,開,之,三,平,zsri,俟甾
抾,U+62BE,溪,開,之,三,平,khi,丘之
䀵,U+4035,書,開,之,三,平,sji,式其
微,U+5FAE,明,合,微,三,平,myoi,無非
𢼸,U+22F38,明,合,微,三,平,myoi,無非
㵟,U+3D5F,明,合,微,三,平,myoi,無非
薇,U+8587,明,合,微,三,平,myoi,無非
䉠,U+4260,明,合,微,三,平,myoi,無非
䥩,U+4969,明,合,微,三,平,myoi,無非
癓,U+7653,明,合,微,三,平,myoi,無非
矀,U+77C0,明,合,微,三,平,myoi,無非
揮,U+63EE,曉,合,微,三,平,hyoi,許歸
煇,U+7147,曉,合,微,三,平,hyoi,許歸
輝,U+8F1D,曉,合,微,三,平,hyoi,許歸
暉,U+6689,曉,合,微,三,平,hyoi,許歸
徽,U+5FBD,曉,合,微,三,平,hyoi,許歸
翬,U+7FEC,曉,合,微,三,平,hyoi,許歸
褘,U+8918,曉,合,微,三,平,hyoi,許歸
鰴,U+9C34,曉,合,微,三,平,hyoi,許歸
楎,U+694E,曉,合,微,三,平,hyoi,許歸
幑,U+5E51,曉,合,微,三,平,hyoi,許歸
瀈,U+7008,曉,合,微,三,平,hyoi,許歸
㫎,U+3ACE,曉,合,微,三,平,hyoi,許歸
𤟤,U+247E4,曉,合,微,三,平,hyoi,許歸
幃,U+5E43,云,合,微,三,平,yoi,雨非
韋,U+97CB,云,合,微,三,平,yoi,雨非
闈,U+95C8,云,合,微,三,平,yoi,雨非
圍,U+570D,云,合,微,三,平,yoi,雨非
䙟,U+465F,云,合,微,三,平,yoi,雨非
𩎯,U+293AF,云,合,微,三,平,yoi,雨非
違,U+9055,云,合,微,三,平,yoi,雨非
湋,U+6E4B,云,合,微,三,平,yoi,雨非
囗,U+56D7,云,合,微,三,平,yoi,雨非
鍏,U+934F,云,合,微,三,平,yoi,雨非
潿,U+6F7F,云,合,微,三,平,yoi,雨非
婔,U+5A54,云,合,微,三,平,yoi,雨非
𧝕,U+27755,云,合,微,三,平,yoi,雨非
𠆎,U+2018E,云,合,微,三,平,yoi,雨非
𢾁,U+22F81,云,合,微,三,平,yoi,雨非
霏,U+970F,滂,合,微,三,平,phyoi,芳非
䬠,U+4B20,滂,合,微,三,平,phyoi,芳非
妃,U+5983,滂,合,微,三,平,phyoi,芳非
菲,U+83F2,滂,合,微,三,平,phyoi,芳非
䩁,U+4A41,滂,合,微,三,平,phyoi,芳非
婓,U+5A53,滂,合,微,三,平,phyoi,芳非
騑,U+9A11,滂,合,微,三,平,phyoi,芳非
裶,U+88F6,滂,合,微,三,平,phyoi,芳非
𥇖,U+251D6,滂,合,微,三,平,phyoi,芳非
猆,U+7306,幫,合,微,三,平,pyoi,甫微
飛,U+98DB,幫,合,微,三,平,pyoi,甫微
扉,U+6249,幫,合,微,三,平,pyoi,甫微
緋,U+7DCB,幫,合,微,三,平,pyoi,甫微
𩙲,U+29672,幫,合,微,三,平,pyoi,甫微
非,U+975E,幫,合,微,三,平,pyoi,甫微
馡,U+99A1,幫,合,微,三,平,pyoi,甫微
𩹉,U+29E49,幫,合,微,三,平,pyoi,甫微
騛,U+9A1B,幫,合,微,三,平,pyoi,甫微
騑,U+9A11,幫,合,微,三,平,pyoi,甫微
誹,U+8AB9,幫,合,微,三,平,pyoi,甫微
餥,U+9925,幫,合,微,三,平,pyoi,甫微
肥,U+80A5,並,合,微,三,平,byoi,符非
腓,U+8153,並,合,微,三,平,byoi,符非
䈈,U+4208,並,合,微,三,平,byoi,符非
淝,U+6DDD,並,合,微,三,平,byoi,符非
𤷂,U+24DC2,並,合,微,三,平,byoi,符非
痱,U+75F1,並,合,微,三,平,byoi,符非
蜰,U+8730,並,合,微,三,平,byoi,符非
𩇯,U+291EF,並,合,微,三,平,byoi,符非
蟦,U+87E6,並,合,微,三,平,byoi,符非
賁,U+8CC1,並,合,微,三,平,byoi,符非
裴,U+88F4,並,合,微,三,平,byoi,符非
威,U+5A01,影,合,微,三,平,qyoi,於非
葳,U+8473,影,合,微,三,平,qyoi,於非
隇,U+9687,影,合,微,三,平,qyoi,於非
㟪,U+37EA,影,合,微,三,平,qyoi,於非
蝛,U+875B,影,合,微,三,平,qyoi,於非
鰄,U+9C04,影,合,微,三,平,qyoi,於非
媁,U+5A81,影,合,微,三,平,qyoi,於非
楲,U+6972,影,合,微,三,平,qyoi,於非
祈,U+7948,群,開,微,三,平,gioi,渠希
頎,U+980E,群,開,微,三,平,gioi,渠希
旂,U+65C2,群,開,微,三,平,gioi,渠希
𩴆,U+29D06,群,開,微,三,平,gioi,渠希
