glyph,unicode,广韵信息,反切,polyhedron中古全拼,mandarin_pinyin,cantonese_jyutping
糒,U+7CD2,並開三去脂B,平祕,biih,bèi,bei6
犕,U+7295,並開三去脂B,平祕,biih,bèi,bei6
絥,U+7D65,"並開三入東
並開三去脂B","房六
平祕","biuk
biih",fú,bei6；fuk6
鞴,U+97B4,"並開一去模
並開三入東
並開三去脂B","薄故
房六
平祕","boh
biuk
biih",bài；bèi；bù；fú,bei6；bou6
韍,U+97CD,"並開三去脂B
幫合三入文","平祕
分勿","biih
pyot",fú,fat1
贔,U+8D14,並開三去脂B,平祕,biih,bì,bai3；bei6
𣖾,U+235BE,並開三去脂B,平祕,biih,bèi,
㣁,U+38C1,並開三去脂B,平祕,biih,bèi,bei6
㸢,U+3E22,並開三去脂B,平祕,biih,bèi,bei6
媿,U+5ABF,見合三去脂B,俱位,kyih,chǒu；kuì,gwai2；kwai3；kwai5
愧,U+6127,見合三去脂B,俱位,kyih,kuì,kwai3；kwai5
聭,U+806D,見合三去脂B,俱位,kyih,kuì,gwai3
䁛,U+405B,見合三去脂B,俱位,kyih,guì,gwai3
帥,U+5E25,"生合三入諄
生合三去脂B","所律
所類","sryt
sryih",shuài,seoi3；seot1
率,U+7387,"生合三入諄
生合三去脂B","所律
所類","sryt
sryih",lüè；lǜ；shuài,leot2；leot6；seot1
喟,U+559F,"溪合三去脂B
溪合二去皆","丘愧
苦怪","khyih
khruaih",huài；kuì,wai2；wai6
嘳,U+5633,"溪合三去脂B
溪合二去皆","丘愧
苦怪","khyih
khruaih",kuì,kwaai3；wai2
䯣,U+4BE3,溪合三去脂B,丘愧,khyih,guì；kuì,kwai3
䰎,U+4C0E,溪合三去脂B,丘愧,khyih,kuì,kwai3
腃,U+8143,溪合三去脂B,丘愧,khyih,juàn；kuì；quán；quān,wai3
䙡,U+4661,"溪合三去微
溪合三去脂B","丘畏
丘愧","khyoih
khyih",huì；kuì,kui2；kwui2；wai3
尯,U+5C2F,溪合三去脂B,丘愧,khyih,kuì；kuǐ,kwai3
𨌗,U+28317,溪合三去脂B,丘愧,khyih,,
豷,U+8C77,"影開四去齊
曉合三去脂B","於計
許位","qeh
hyih",yì,ai3；ngai3
嗜,U+55DC,常開三去脂A,常利,zjiih,shì,si3
𩝙,U+29759,常開三去脂A,常利,zjiih,,
𨢍,U+2888D,常開三去脂A,常利,zjiih,,
利,U+5229,來開三去脂A,力至,liih,li；lì,lei2；lei6
𥝤,U+25764,來開三去脂A,力至,liih,,
䬆,U+4B06,"來開三入眞A
來開三去脂A","力質
力至","lit
liih",lì,leot6
莅,U+8385,來開三去脂A,力至,liih,lì,lei6
涖,U+6D96,"來開三去脂A
來開四去齊","力至
郎計","liih
leh",lì,lei6
痢,U+75E2,來開三去脂A,力至,liih,lì,lei1；lei6
䚕,U+4695,來開三去脂A,力至,liih,lì,lai6；saai2
膩,U+81A9,娘開三去脂B,女利,nriih,nì,lau6；lei6；nau6；nei6
𦡸,U+26878,娘開三去脂B,女利,nriih,,
䁊,U+404A,"娘開三去脂B
影合一入桓","女利
烏括","nriih
quat",wò,waat3
䣵,U+48F5,"娘開三去脂B
日開三去之","女利
仍吏","nriih
njih",èr,lei6；nei6
屁,U+5C41,滂開三去脂A,匹寐,phjiih,pì,pei3
䊧,U+42A7,"滂合三去微
滂開三去脂A","芳未
匹寐","phyoih
phjiih",bì,pei3
劓,U+5293,疑開三去脂B,魚器,ngiih,yì,ji6
致,U+81F4,"澄開三去脂B
知開三去脂B","直利
陟利","driih
triih",zhuì；zhì,zi3
懫,U+61EB,"知開三去脂B
章開三入眞A","陟利
之日","triih
cjit",zhì,zi3
疐,U+7590,"知開三去脂B
端開四去齊","陟利
都計","triih
teh",dì；zhì,dai3；zi3
𢷐,U+22DD0,知開三去脂B,陟利,triih,,
𨆫,U+281AB,知開三去脂B,陟利,triih,,
躓,U+8E93,知開三去脂B,陟利,triih,zhì；zhī,zi3
𨎌,U+2838C,知開三去脂B,陟利,triih,zhǐ,
輊,U+8F0A,知開三去脂B,陟利,triih,zhì,zi3
騺,U+9A3A,知開三去脂B,陟利,triih,chì；zhì,zi3
䞃,U+4783,知開三去脂B,陟利,triih,zhì,zi3
𣱐,U+23C50,"影開三去眞A
知開三去脂B","於刃
陟利","qjinh
triih",yìn；zhì,
質,U+8CEA,"知開三去脂B
章開三入眞A","陟利
之日","triih
cjit",zhì,zat1；zi3
駤,U+99E4,知開三去脂B,陟利,triih,zhì,zi3
棄,U+68C4,溪開三去脂A,詰利,khjiih,qì,hei3
弃,U+5F03,溪開三去脂A,詰利,khjiih,qì,hei3
夡,U+5921,溪開三去脂A,詰利,khjiih,qì,hei3
㞓,U+3793,溪開三去脂A,詰利,khjiih,jī；qì,hei3
蟿,U+87FF,"溪開三去脂A
溪開四去齊","詰利
苦計","khjiih
kheh",jì；qì,kai3
緻,U+7DFB,澄開三去脂B,直利,driih,zhì,zi3
稚,U+7A1A,澄開三去脂B,直利,driih,zhì,zi6
稺,U+7A3A,澄開三去脂B,直利,driih,zhì,zi6
𦃘,U+260D8,澄開三去脂B,直利,driih,zhì,
𩹈,U+29E48,澄開三去脂B,直利,driih,zhì,
𠊷,U+202B7,澄開三去脂B,直利,driih,zhì,zi6
𢴧,U+22D27,澄開三去脂B,直利,driih,zhì,
𩋩,U+292E9,澄開三去脂B,直利,driih,zhì,
𦥐,U+26950,澄開三去脂B,直利,driih,zhì,
寐,U+5BD0,明開三去脂A,彌二,mjiih,mèi,mei6
杘,U+6758,徹開三去脂B,丑利,thriih,chì,ci3
𣐉,U+23409,徹開三去脂B,丑利,thriih,,
𦥊,U+2694A,"徹開三去之
徹開三去脂B","丑吏
丑利","thrih
thriih",chì,
跮,U+8DEE,"徹開三入眞B
徹開三去脂B","丑栗
丑利","thrit
thriih",chì；dié,ci3；dit6
冀,U+5180,見開三去脂B,几利,kiih,jì,kei3
兾,U+517E,見開三去脂B,几利,kiih,jì,kei3
覬,U+89AC,見開三去脂B,几利,kiih,jì,gei3
穊,U+7A4A,見開三去脂B,几利,kiih,jì,gei3
驥,U+9A65,見開三去脂B,几利,kiih,jì,kei3
𩥉,U+29949,見開三去脂B,几利,kiih,jì,gei3
洎,U+6D0E,"群開三去脂B
見開三去脂B","其冀
几利","giih
kiih",jì,gei3；gei6
懻,U+61FB,見開三去脂B,几利,kiih,jì,gei3
臮,U+81EE,群開三去脂B,其冀,giih,jì,kei3
暨,U+66A8,群開三去脂B,其冀,giih,jiè；jì,kei3
鱀,U+9C40,"群開三去之
群開三去脂B","渠記
其冀","gih
giih",jì,kei3
垍,U+578D,群開三去脂B,其冀,giih,jì；jī,gei3；gei6
塈,U+5848,"曉開三去微
群開三去脂B","許旣
其冀","hioih
giih",jì；xì,gei3；hei3；kei3
𣽍,U+23F4D,群開三去脂B,其冀,giih,jì,
悸,U+60B8,群合三去脂A,其季,gjyih,jì,gwai3
猤,U+7324,群合三去脂A,其季,gjyih,guì,gwai3
痵,U+75F5,群合三去脂A,其季,gjyih,jì,gwai3
𡬄,U+21B04,群合三去脂A,其季,gjyih,jì,
翠,U+7FE0,清合三去脂A,七醉,chyih,cuì,ceoi3
二,U+4E8C,日開三去脂A,而至,njiih,èr,ji2；ji6
弍,U+5F0D,日開三去脂A,而至,njiih,èr,ji6
貳,U+8CB3,日開三去脂A,而至,njiih,èr,ji6
樲,U+6A32,日開三去脂A,而至,njiih,zhì；èr,ji6
恣,U+6063,精開三去脂A,資四,ciih,zì,ci3；zi1；zi3
𣣌,U+238CC,"清開三去脂A
精開三去脂A","七四
資四","chiih
ciih",sì；zì,
次,U+6B21,清開三去脂A,七四,chiih,cì；cí；zī,ci3；zi1
䳐,U+4CD0,清開三去脂A,七四,chiih,cì,ci3
佽,U+4F7D,清開三去脂A,七四,chiih,cì,ci3
絘,U+7D58,清開三去脂A,七四,chiih,cì,ci3
𩾔,U+29F94,清開三去脂A,七四,chiih,cì,
𧊒,U+27292,清開三去脂A,七四,chiih,cì,
䯸,U+4BF8,清開三去脂A,七四,chiih,cì,ci3
懿,U+61FF,影開三去脂B,乙兾,qiih,yì；yī,ji3
饐,U+9950,影開三去脂B,乙兾,qiih,yì；yē；èn,ji3；jik1
㙪,U+366A,"影開三去脂B
影開四去齊","乙兾
於計","qiih
qeh",yì,ai3；ngai3
欭,U+6B2D,影開三去脂B,乙兾,qiih,yì；yīn,ji3
鷧,U+9DE7,影開三去脂B,乙兾,qiih,yì,ji3
撎,U+648E,影開三去脂B,乙兾,qiih,yì,ji3
亄,U+4E84,"影開三入眞B
影開三去脂B","於筆
乙兾","qit
qiih",yì,ji3
四,U+56DB,心開三去脂A,息利,siih,sì,sei3；si3
亖,U+4E96,心開三去脂A,息利,siih,sì,sei3
𦉭,U+2626D,心開三去脂A,息利,siih,,
肆,U+8086,心開三去脂A,息利,siih,sì；tì,sei3；si3
𩬶,U+29B36,心開三去脂A,息利,siih,,
柶,U+67F6,心開三去脂A,息利,siih,sì,si3
泗,U+6CD7,心開三去脂A,息利,siih,sì,si3
牭,U+726D,心開三去脂A,息利,siih,sì,sei3
𧳙,U+27CD9,"心開三去脂A
群開三去之","息利
渠記","siih
gih",sì,
㣈,U+38C8,心開三去脂A,息利,siih,sì,si3
駟,U+99DF,心開三去脂A,息利,siih,sì,si3
𦞤,U+267A4,心開三去脂A,息利,siih,xìn；zǐ,
蕼,U+857C,心開三去脂A,息利,siih,sì,sei3
肂,U+8082,心開三去脂A,息利,siih,sì,si3
器,U+5668,溪開三去脂B,去冀,khiih,qì,hei3
季,U+5B63,見合三去脂A,居悸,kjyih,jì,gwai3
鼻,U+9F3B,並開三去脂A,毗至,bjiih,bí,bei6
𤹝,U+24E5D,並開三去脂A,毗至,bjiih,bì,
坒,U+5752,"並開三入眞A
並開三去脂A","毗必
毗至","bjit
bjiih",bì,bai6；bei6
襣,U+8963,並開三去脂A,毗至,bjiih,bì,bei6
䫁,U+4AC1,並開三去脂A,毗至,bjiih,bì,bei6
痹,U+75F9,幫開三去脂A,必至,pjiih,bì,bei3
畀,U+7540,幫開三去脂A,必至,pjiih,bì,bei2；bei3
庇,U+5E87,幫開三去脂A,必至,pjiih,bì；pí；pǐ,bei3
萃,U+8403,從合三去脂A,秦醉,zyih,cuì,seoi6
顇,U+9847,從合三去脂A,秦醉,zyih,cuì；zú,seoi5；seoi6
悴,U+60B4,從合三去脂A,秦醉,zyih,cuì,seoi5；seoi6
㱖,U+3C56,從合三去脂A,秦醉,zyih,cuì,seoi6
䆊,U+418A,從合三去脂A,秦醉,zyih,cuì；mèi,seoi6
瘁,U+7601,從合三去脂A,秦醉,zyih,cuì,seoi5；seoi6
地,U+5730,定開三去脂A,徒四,diih,de；dì,dei2；dei6；deng6
墬,U+58AC,定開三去脂A,徒四,diih,dì,dei6；deng6
齂,U+9F42,"明開二入山
曉開三去脂B
曉開二去皆","莫八
虚器
許介","mret
hiih
hraih",xiè,haai3
㕧,U+3567,曉開三去脂B,虚器,hiih,xī,si1
屓,U+5C53,曉開三去脂B,虚器,hiih,xiè,ai3；hei3；ngai3
呬,U+546C,曉開三去脂B,虚器,hiih,chì；xì,hei3
𤡬,U+2486C,曉開三去脂B,虚器,hiih,xì,
䨳,U+4A33,曉開三去脂B,虚器,hiih,xì；xī,hei3
肄,U+8084,以開三去脂A,羊至,jiih,sì；yì,ji6；si3
殔,U+6B94,以開三去脂A,羊至,jiih,yì,ji6
㡼,U+387C,以開三去脂A,羊至,jiih,yì,ji6
勩,U+52E9,"以開三去祭A
以開三去脂A","餘制
羊至","jed
jiih",yì,jai6；ji6
隶,U+96B6,"以開三去脂A
來開四去齊","羊至
郎計","jiih
leh",dài；dì；lì；yì,dai6；doi6；lai6
㣇,U+38C7,"以開三去脂A
定開四去齊","羊至
特計","jiih
deh",yì,dai6
𥿫,U+25FEB,以開三去脂A,羊至,jiih,mí；wèi；yì,
諡,U+8AE1,船開三去脂A,神至,zsjiih,shì,si3
謚,U+8B1A,"影開三入清
船開三去脂A","伊昔
神至","qjek
zsjiih",shì；xì；yì,si3
自,U+81EA,從開三去脂A,疾二,ziih,zì,zi2；zi6
嫉,U+5AC9,"從開三入眞A
從開三去脂A","秦悉
疾二","zit
ziih",jí,zat6
墜,U+589C,澄合三去脂B,直類,dryih,zhuì,zeoi6
懟,U+61DF,澄合三去脂B,直類,dryih,duì,deoi6；zeoi6
出,U+51FA,"昌合三入諄
昌合三去脂A","赤律
尺類","chjyt
chjyih",chū,ceot1
𤀷,U+24037,以合三去脂A,以醉,jyih,wèi,
𢣘,U+228D8,以合三去脂A,以醉,jyih,wèi,
瞶,U+77B6,"以合三去脂A
見合三去微","以醉
居胃","jyih
kyoih",guì；kuì；wèi,gwai3；kui2；kwui2
䗽,U+45FD,以合三去脂A,以醉,jyih,wèi,wai6
侐,U+4F90,"曉合三入蒸
曉合三去脂A","況逼
火季","hyk
hjyih",xù,gwik1
轛,U+8F5B,"知合三去脂B
端合一去灰","追萃
都隊","tryih
tuaih",zhuì,deoi3
痓,U+75D3,昌開三去脂A,充自,chjiih,chì,ci3
屍,U+5C4D,書開三去脂A,矢利,sjiih,shì；shī,si1
䛈,U+46C8,書開三去脂A,矢利,sjiih,shì,si3
㿷,U+3FF7,"初合三去脂B
清開一去豪","楚愧
七到","chryih
chauh",cuó；cāo,co4
㽷,U+3F77,書合三去脂A,釋類,sjyih,shuì,seoi3
𥤼,U+2593C,書合三去脂A,釋類,sjyih,suì,
志,U+5FD7,章開三去之,職吏,cjih,zhì,zi3
娡,U+5A21,章開三去之,職吏,cjih,zhì,zi3
䓌,U+44CC,章開三去之,職吏,cjih,zhì,zi3
誌,U+8A8C,章開三去之,職吏,cjih,zhì,zi3
痣,U+75E3,章開三去之,職吏,cjih,zhì,zi3
織,U+7E54,"章開三入蒸
章開三去之","之翼
職吏","cjik
cjih",zhì；zhī,ci3；zi3；zik1
識,U+8B58,"書開三入蒸
章開三去之","賞職
職吏","sjik
cjih",shi；shì；shí；zhì,sik1；zi3
值,U+503C,澄開三去之,直吏,drih,zhí,zik6
植,U+690D,"常開三入蒸
澄開三去之","常職
直吏","zjik
drih",zhí,zik6
㨁,U+3A01,"常開三入蒸
澄開三去之","常職
直吏","zjik
drih",zhì；zhí,zi6
𠍜,U+2035C,澄開三去之,直吏,drih,zhì,
寺,U+5BFA,邪開三去之,祥吏,zsih,shì；sì,zi2；zi6
嗣,U+55E3,邪開三去之,祥吏,zsih,sì,zi6
孠,U+5B60,邪開三去之,祥吏,zsih,sì,zi6
飤,U+98E4,邪開三去之,祥吏,zsih,sì,zi6
飼,U+98FC,邪開三去之,祥吏,zsih,sì,zi6
蚝,U+869D,清開三去之,七吏,chih,cì；háo,ci3；hou4
螆,U+8786,清開三去之,七吏,chih,cì,zi1
𧉠,U+27260,清開三去之,七吏,chih,,
笥,U+7B25,心開三去之,相吏,sih,sì,zi6
試,U+8A66,書開三去之,式吏,sjih,shì,si3；si5
弑,U+5F11,書開三去之,式吏,sjih,shì,si3
幟,U+5E5F,"昌開三去之
書開三去之","昌志
式吏","chjih
sjih",zhì,ci3
僿,U+50FF,書開三去之,式吏,sjih,sài,si1；si3
胾,U+80FE,莊開三去之,側吏,crih,zì,zi3
事,U+4E8B,"崇開三去之
莊開三去之","鉏吏
側吏","zrih
crih",shi；shì；zì,si2；si6
剚,U+525A,莊開三去之,側吏,crih,zì,zi3
倳,U+5033,莊開三去之,側吏,crih,zì,zi3
吏,U+540F,來開三去之,力置,lih,lì,lei6
字,U+5B57,從開三去之,疾置,zih,zi；zì,zi2；zi6
牸,U+7278,從開三去之,疾置,zih,zì,zi6
茡,U+8321,從開三去之,疾置,zih,zì,zi6
芓,U+8293,從開三去之,疾置,zih,zì；zī；zǐ,zi2；zi6
䰡,U+4C21,徹開三去之,丑吏,thrih,chì,ci3
餌,U+990C,日開三去之,仍吏,njih,ěr,lei6；nei6
𩱓,U+29C53,日開三去之,仍吏,njih,ěr,
珥,U+73E5,日開三去之,仍吏,njih,ěr,ji5；lei6；nei6
衈,U+8848,日開三去之,仍吏,njih,èr,lei6；nei6
毦,U+6BE6,日開三去之,仍吏,njih,ěr,lei6；nei6
刵,U+5235,日開三去之,仍吏,njih,èr,ji6
佴,U+4F74,"日開三去之
泥開一去咍","仍吏
奴代","njih
naih",nài；èr,ji5；ji6；loi6；noi6
䎶,U+43B6,日開三去之,仍吏,njih,èr,lei6；nei6
㛅,U+36C5,日開三去之,仍吏,njih,èr,lei6；nei6
䏪,U+43EA,日開三去之,仍吏,njih,èr,lei6；nei6
眲,U+7732,"娘開二入耕
日開三去之","尼戹
仍吏","nrek
njih",nè,aak1；ak1；ji6；lei6；nei6；ngaak1；ngak1
𦖢,U+265A2,日開三去之,仍吏,njih,èr,
𩢲,U+298B2,生開三去之,踈吏,srih,,sai2
𣳪,U+23CEA,生開三去之,踈吏,srih,,
𧳅,U+27CC5,生開三去之,踈吏,srih,shì；shǐ,
𨽄,U+28F44,生開三去之,踈吏,srih,shì,
廁,U+5EC1,初開三去之,初吏,chrih,cè；cì；si；zè,cak1；ci3
異,U+7570,以開三去之,羊吏,jih,yì,ji6
潩,U+6F69,"以開三入蒸
以開三去之","與職
羊吏","jik
jih",yì,ji6
食,U+98DF,"以開三去之
船開三入蒸","羊吏
乗力","jih
zsjik",shi；shí；sì；yì,ji6；sik2；sik6；zi6
䔬,U+452C,以開三去之,羊吏,jih,yì,ji6
廙,U+5ED9,"以開三入蒸
以開三去之","與職
羊吏","jik
jih",yì,ji6
置,U+7F6E,知開三去之,陟吏,trih,zhi；zhì,zi3
侍,U+4F8D,常開三去之,時吏,zjih,shì,si2；si6
𩛌,U+296CC,崇開三去之,鉏吏,zrih,shì,
忌,U+5FCC,群開三去之,渠記,gih,jì,gei2；gei6
𨙬,U+2866C,群開三去之,渠記,gih,qǐ,
惎,U+60CE,群開三去之,渠記,gih,jì,gei6
䋟,U+42DF,群開三去之,渠記,gih,jì,gei6
鵋,U+9D4B,群開三去之,渠記,gih,jì,gei6
誋,U+8A8B,群開三去之,渠記,gih,jì,gei6
梞,U+689E,群開三去之,渠記,gih,jì,gei6
帺,U+5E3A,群開三去之,渠記,gih,jì；qí,kei4
𥭜,U+25B5C,群開三去之,渠記,gih,jì,
熾,U+71BE,昌開三去之,昌志,chjih,chì,ci3
饎,U+994E,昌開三去之,昌志,chjih,chì,ci3
𩜮,U+2972E,昌開三去之,昌志,chjih,,
糦,U+7CE6,昌開三去之,昌志,chjih,xī,ci3
𢨒,U+22A12,昌開三去之,昌志,chjih,chì,
埴,U+57F4,"常開三入蒸
昌開三去之","常職
昌志","zjik
chjih",zhí,zik6
意,U+610F,影開三去之,於記,qih,yi；yì；yī,ji1；ji2；ji3
鷾,U+9DFE,影開三去之,於記,qih,yì,ji3
𠃸,U+200F8,影開三去之,於記,qih,,
䵝,U+4D5D,影開三去之,於記,qih,yà；yì,ji3
記,U+8A18,見開三去之,居吏,kih,ji；jì,gei3
䰯,U+4C2F,疑開三去之,魚記,ngih,yì,ji6
豙,U+8C59,"疑開三去之
疑開三去微","魚記
魚旣","ngih
ngioih",yì,ai6；ngai6
㘈,U+3608,"疑開三入蒸
疑開三去之","魚力
魚記","ngik
ngih",nǐ；yì,jik6
㽈,U+3F48,疑開三去之,魚記,ngih,yì,ji6
亟,U+4E9F,"溪開三去之
見開三入蒸","去吏
紀力","khih
kik",jí；qì,gik1；kei3
唭,U+552D,溪開三去之,去吏,khih,qì,kei3
䀈,U+4008,"曉開三去微
溪開三去之
溪開三去微","許旣
去吏
去旣","hioih
khih
khioih",jì,kei3
未,U+672A,明合三去微,無沸,myoih,wèi,mei6
味,U+5473,明合三去微,無沸,myoih,mèi；wèi,mei1；mei2；mei6
菋,U+83CB,明合三去微,無沸,myoih,wèi,mei6
𩑵,U+29475,明合三去微,無沸,myoih,wèi,
䊊,U+428A,明合三去微,無沸,myoih,wèi,mei6
沬,U+6CAC,"明合三去微
明開一去泰","無沸
莫貝","myoih
mad",huì；mèi,mui6
鮇,U+9B87,明合三去微,無沸,myoih,wèi,mei6
𡶎,U+21D8E,明合三去微,無沸,myoih,wèi,
貴,U+8CB4,見合三去微,居胃,kyoih,guì,gwai3
胃,U+80C3,云合三去微,于貴,yoih,wèi,wai6
謂,U+8B02,云合三去微,于貴,yoih,wèi,wai6
㥜,U+395C,云合三去微,于貴,yoih,wèi,wai6
媦,U+5AA6,云合三去微,于貴,yoih,wèi,wai6
𦩝,U+26A5D,云合三去微,于貴,yoih,wèi,
緯,U+7DEF,云合三去微,于貴,yoih,wěi,wai5
彚,U+5F5A,云合三去微,于貴,yoih,huì,wai6
蝟,U+875F,云合三去微,于貴,yoih,wei；wèi,wai6
渭,U+6E2D,云合三去微,于貴,yoih,wèi,wai6
煟,U+715F,云合三去微,于貴,yoih,wèi,wai6
𩹂,U+29E42,云合三去微,于貴,yoih,wèi,
𨾂,U+28F82,云合三去微,于貴,yoih,wèi,
緭,U+7DED,云合三去微,于貴,yoih,wèi,wai6
𢍚,U+2235A,云合三去微,于貴,yoih,wèi,
𦳢,U+26CE2,云合三去微,于貴,yoih,wèi,
䬑,U+4B11,"云合三入文
云合三去微","王勿
于貴","yot
yoih",wèi；yù,wai6
魏,U+9B4F,疑合三去微,魚貴,ngyoih,wèi；wéi；wēi,ai6；ngai6
沸,U+6CB8,幫合三去微,方味,pyoih,fèi；fú,fai3
疿,U+75BF,幫合三去微,方味,pyoih,fèi,fai2；fai3；fai6；fei2
芾,U+82BE,"幫合三入文
幫合三去微
幫開一去泰","分勿
方味
愽蓋","pyot
pyoih
pad",fèi；fú,fai3；fat1
茀,U+8300,"幫合三去微
滂合三入文","方味
敷勿","pyoih
phyot",bèi；bì；bó；fèi；fú,bat6；but6；fat1
鯡,U+9BE1,幫合三去微,方味,pyoih,fèi；fēi,fei1
㹃,U+3E43,幫合三去微,方味,pyoih,fèi,fe3；he3
𩰾,U+29C3E,幫合三去微,方味,pyoih,fèi,
𧙂,U+27642,幫合三去微,方味,pyoih,,
䛍,U+46CD,幫合三去微,方味,pyoih,fèi,fai3
䟛,U+47DB,"並合一入桓
幫合三去微","蒲撥
方味","buat
pyoih",bèi；bó；fèi,bat6
髴,U+9AF4,"幫合三入文
滂合三入文
滂合三去微","分勿
敷勿
芳未","pyot
phyot
phyoih",fèi；fú,fai3；fat1
靅,U+9745,滂合三去微,芳未,phyoih,fèi,fai3
𣙿,U+2367F,滂合三去微,芳未,phyoih,fèi,
昲,U+6632,滂合三去微,芳未,phyoih,fèi,fai3
𥽂,U+25F42,溪合三去微,丘畏,khyoih,,
𧝷,U+27777,溪合三去微,丘畏,khyoih,kuì,
尉,U+5C09,"影合三入文
影合三去微","紆物
於胃","qyot
qyoih",wèi；yù；yùn,wai3；wan6；wat1
㷉,U+3DC9,影合三去微,於胃,qyoih,wèi,tong3；wai3
熨,U+71A8,"影合三入文
影合三去微","紆物
於胃","qyot
qyoih",wèi；yù；yùn,tong3；wai3；wan6；wat1
慰,U+6170,影合三去微,於胃,qyoih,wèi,wai3
畏,U+754F,影合三去微,於胃,qyoih,wèi；wēi；wěi,wai3
罻,U+7F7B,影合三去微,於胃,qyoih,wèi,wai3；wat1
犚,U+729A,影合三去微,於胃,qyoih,wèi,wai3
蔚,U+851A,"影合三入文
影合三去微","紆物
於胃","qyot
qyoih",wèi；yù,wai3；wat1
螱,U+87B1,影合三去微,於胃,qyoih,wèi,wai3
𧕈,U+27548,影合三去微,於胃,qyoih,,
褽,U+893D,影合三去微,於胃,qyoih,wèi,wai3
䲁,U+4C81,影合三去微,於胃,qyoih,wèi,wai3
諱,U+8AF1,曉合三去微,許貴,hyoih,huì,wai5
芔,U+8294,曉合三去微,許貴,hyoih,huì；hū,wai2
泋,U+6CCB,曉合三去微,許貴,hyoih,huì；huǐ,wai3
𥝋,U+2574B,並合三去微,扶沸,byoih,fèi,
𤲳,U+24CB3,並合三去微,扶沸,byoih,,
狒,U+72D2,並合三去微,扶沸,byoih,fèi,fai3；fat1；fei6
㵒,U+3D52,並合三去微,扶沸,byoih,bì；fèi；pài,fai3
怫,U+602B,"並合三入文
並合三去微","符弗
扶沸","byot
byoih",bèi；fèi；fú,bui6；fai3；fat6
屝,U+5C5D,並合三去微,扶沸,byoih,fèi,fei2
𧕿,U+2757F,並合三去微,扶沸,byoih,fěi,
䨾,U+4A3E,並合三去微,扶沸,byoih,fèi,fai6
翡,U+7FE1,並合三去微,扶沸,byoih,fěi,fei2
𡌦,U+21326,並合三去微,扶沸,byoih,fèi,
萉,U+8409,並合三去微,扶沸,byoih,fèi；féi；fú,fai6
𩇪,U+291EA,並合三去微,扶沸,byoih,,
䠊,U+480A,並合三去微,扶沸,byoih,fèi,fai3；fei6
㔗,U+3517,並合三去微,扶沸,byoih,bèi；fèi；fú,fai6
𧌘,U+27318,並合三去微,扶沸,byoih,fèi,
𥄱,U+25131,"並合三去微
滂合一入桓","扶沸
普活","byoih
phuat",fèi,
黂,U+9EC2,並合三去微,扶沸,byoih,fén,fan4
旣,U+65E3,見開三去微,居豙,kioih,jì,gei3
曁,U+66C1,"見開三入欣
見開三入眞B
見開三去微","居乙
居乙
居豙","kiot
kit
kioih",jì,kei3
漑,U+6F11,"見開一去咍
見開三去微","古代
居豙","kaih
kioih",gài,koi3
𣢆,U+23886,見開三去微,居豙,kioih,,
蔇,U+8507,見開三去微,居豙,kioih,jì；xì,gei3
毅,U+6BC5,疑開三去微,魚旣,ngioih,yì,ai6；ngai6
𢖫,U+225AB,疑開三去微,魚旣,ngioih,yì,
𧅙,U+27159,疑開三去微,魚旣,ngioih,,
藙,U+85D9,疑開三去微,魚旣,ngioih,yì,ai6；ngai6
䉨,U+4268,疑開三去微,魚旣,ngioih,yì,ai6；ngai6
氣,U+6C23,"曉開三去微
溪開三去微","許旣
去旣","hioih
khioih",qi；qì；xì,hei3
炁,U+7081,溪開三去微,去旣,khioih,qì,hei3
气,U+6C14,"曉開三去微
溪開三去微","許旣
去旣","hioih
khioih",qi；qì；qǐ,hei3
盵,U+76F5,溪開三去微,去旣,khioih,qì,hei3
愾,U+613E,"曉開三去微
溪開一去咍
溪開一去泰","許旣
苦蓋
苦蓋","hioih
khaih
khad",kài；qì；xì,koi3
餼,U+993C,曉開三去微,許旣,hioih,xì,hei3
䊠,U+42A0,曉開三去微,許旣,hioih,xì,hei3
鎎,U+938E,曉開三去微,許旣,hioih,kài,hei3
𢟪,U+227EA,"影開一去咍
曉開三去微","烏代
許旣","qaih
hioih",xì；ài,
熂,U+7182,曉開三去微,許旣,hioih,xì,hei3
黖,U+9ED6,曉開三去微,許旣,hioih,xì,hei3
摡,U+6461,"曉開三去微
見開一去咍","許旣
古代","hioih
kaih",gài；xì,goi3
𧱲,U+27C72,曉開三去微,許旣,hioih,xì,
䮎,U+4B8E,曉開三去微,許旣,hioih,xì,hei3
犔,U+7294,曉開三去微,許旣,hioih,xì,hei3
忥,U+5FE5,曉開三去微,許旣,hioih,xì,hei3
䤒,U+4912,群開三去微,其旣,gioih,jì；jǐ,gei6
御,U+5FA1,"疑開三上魚
疑開三去魚","魚巨
牛倨","ngiox
ngioh",yà；yù,aa6；jyu6；ngaa6
馭,U+99AD,疑開三去魚,牛倨,ngioh,yù,jyu6
慮,U+616E,來開三去魚,良倨,lioh,lǘ；lǜ,leoi6
勴,U+52F4,來開三去魚,良倨,lioh,lǜ,leoi6
𥶌,U+25D8C,來開三去魚,良倨,lioh,lǜ,
𠣊,U+208CA,來開三去魚,良倨,lioh,lǜ,
鑢,U+9462,來開三去魚,良倨,lioh,lǜ,leoi6
𩥆,U+29946,來開三去魚,良倨,lioh,lǜ,
𡾅,U+21F85,來開三去魚,良倨,lioh,lǜ,
