glyph,unicode,广韵信息,反切,polyhedron中古全拼,mandarin_pinyin,cantonese_jyutping
玒,U+7392,"見開一平東
見開二平江","古紅
古雙","kung
krung",hóng,gung1
釭,U+91ED,"見開一平冬
見開一平東
見開二平江","古冬
古紅
古雙","kuung
kung
krung",gāng；gōng,gong1
魟,U+9B5F,"匣開一平東
曉開一平東
見開一平東","戸公
呼東
古紅","ghung
hung
kung",gōng；hóng,gung1；hung4
攻,U+653B,"見開一平冬
見開一平東","古冬
古紅","kuung
kung",gōng,gung1
㓚,U+34DA,見開一平東,古紅,kung,gōng,gung1
愩,U+6129,見開一平東,古紅,kung,gòng；gōng；hǒng,gung1
碽,U+78BD,見開一平東,古紅,kung,gōng,gung1
篢,U+7BE2,見開一平東,古紅,kung,gōng；gǎn；lǒng,gung1；lung5
蒙,U+8499,"明開一上東
明開一平東","莫孔
莫紅","mungx
mung",méng；mēng；měng,mung1；mung2；mung4
冡,U+51A1,明開一平東,莫紅,mung,méng,mung4
濛,U+6FDB,"明開一上東
明開一平東","莫孔
莫紅","mungx
mung",méng,mung4
𩦺,U+299BA,明開一平東,莫紅,mung,méng,
艨,U+8268,"明開一去東
明開一平東","莫弄
莫紅","mungh
mung",méng,mung4
䑃,U+4443,明開一平東,莫紅,mung,méng,mung4
矇,U+77C7,明開一平東,莫紅,mung,méng；mēng；měng,mung1；mung4
饛,U+995B,明開一平東,莫紅,mung,méng,mung4
䰒,U+4C12,明開一平東,莫紅,mung,méng,mung4
檬,U+6AAC,明開一平東,莫紅,mung,méng,mung1；mung4
𨢊,U+2888A,明開一平東,莫紅,mung,méng,
䴿,U+4D3F,明開一平東,莫紅,mung,méng,mung4
𨣘,U+288D8,明開一平東,莫紅,mung,méng,
鸏,U+9E0F,"明開一上東
明開一平東","莫孔
莫紅","mungx
mung",máng；méng,mung4
幪,U+5E6A,明開一平東,莫紅,mung,méng；měng,mung2；mung4
罞,U+7F5E,"明開一平東
明開二平肴","莫紅
莫交","mung
mrau",máo,mung4
𢄐,U+22110,"明開一去東
明開一平東","莫弄
莫紅","mungh
mung",méng,
髳,U+9AF3,明開一平東,莫紅,mung,máo；méng；róu,maau4；mau4
蠓,U+8813,"明開一上東
明開一平東","莫孔
莫紅","mungx
mung",měng,mung5
𦿏,U+26FCF,明開一平東,莫紅,mung,mèng；méng,
雺,U+96FA,"明開一去侯
明開一去冬
明開一平東
明開三平尤","莫候
莫綜
莫紅
莫浮","muh
muungh
mung
miu",méng；wù,mou6；mung4；mung6
霿,U+973F,"明開一去東
明開一平東","莫弄
莫紅","mungh
mung",mào；méng；wù,mung4；mung6
霚,U+971A,"明合三去虞
明開一平東","亡遇
莫紅","myoh
mung",wù,mou6
朦,U+6726,"明開一上東
明開一平東","莫孔
莫紅","mungx
mung",méng；mǎng,mung4
䀄,U+4004,明開一平東,莫紅,mung,méng,mung4
霥,U+9725,明開一平東,莫紅,mung,mèng,mung6
籠,U+7C60,"來開一上東
來開一平東
來開三平鍾","力董
盧紅
力鍾","lungx
lung
lyung",long；lóng；lǒng,lung2；lung4；lung5
豅,U+8C45,來開一平東,盧紅,lung,lòng；lóng,lung4
㰍,U+3C0D,來開一平東,盧紅,lung,lóng,lung4
朧,U+6727,來開一平東,盧紅,lung,lóng；lǒng,lung4
𡃡,U+210E1,來開一平東,盧紅,lung,lóng,
龓,U+9F93,"來開一上東
來開一平東","力董
盧紅","lungx
lung",lóng；lǒng,lung5
䪊,U+4A8A,來開一平東,盧紅,lung,lóng,lung4
瀧,U+7027,"來開一平東
來開二平江
生開二平江","盧紅
呂江
所江","lung
lrung
srung",lóng；shuāng,lung4；soeng1
聾,U+807E,來開一平東,盧紅,lung,lóng,lung2；lung4
𨏠,U+283E0,來開一平東,盧紅,lung,lóng,
礱,U+7931,"來開一去東
來開一平東","盧貢
盧紅","lungh
lung",lóng,lung4
䆍,U+418D,來開一平東,盧紅,lung,lóng,lung4
𪚗,U+2A697,來開一平東,盧紅,lung,,
嚨,U+56A8,來開一平東,盧紅,lung,lóng,lung4
蘢,U+8622,"來開一平東
來開三平鍾","盧紅
力鍾","lung
lyung",lòng；lóng；lǒng,lung4
櫳,U+6AF3,來開一平東,盧紅,lung,lóng,lung4
𤮨,U+24BA8,來開一平東,盧紅,lung,,lung4
巃,U+5DC3,"來開一上東
來開一平東","力董
盧紅","lungx
lung",lóng,lung4
襱,U+8971,"來開一上東
來開一平東
澄開三上鍾","力董
盧紅
直隴","lungx
lung
dryungx",lòng；lóng,lung4；lung5
𧙥,U+27665,來開一平東,盧紅,lung,lóng；tǒng,
瓏,U+74CF,來開一平東,盧紅,lung,lóng,lung4
曨,U+66E8,"來開一上東
來開一平東","力董
盧紅","lungx
lung",lóng,lung4
鸗,U+9E17,"來開一平東
來開三平鍾","盧紅
力鍾","lung
lyung",lóng,lung4
𩟭,U+297ED,來開一平東,盧紅,lung,lóng,
蠪,U+882A,來開一平東,盧紅,lung,lóng,lung4
㟅,U+37C5,"來開一平東
疑開一平東
疑開二平江","盧紅
五東
五江","lung
ngung
ngrung",yáng,ngong4；ong4
屸,U+5C78,來開一平東,盧紅,lung,hóng；lóng,lung4
洪,U+6D2A,匣開一平東,戸公,ghung,hóng,hung4
鉷,U+9277,匣開一平東,戸公,ghung,hóng,hung4
訌,U+8A0C,匣開一平東,戸公,ghung,hòng,hung3；hung4；hung6
紅,U+7D05,匣開一平東,戸公,ghung,gōng；hóng；jiàng,gung1；hung2；hung4
虹,U+8679,"匣開一平東
見開一去東
見開二去江","戸公
古送
古巷","ghung
kungh
krungh",gòng；hòng；hóng；jiàng,hung4
仜,U+4EDC,匣開一平東,戸公,ghung,hóng,hung4
鴻,U+9D3B,"匣開一上東
匣開一平東","胡孔
戸公","ghungx
ghung",hòng；hóng,hung4
葒,U+8452,匣開一平東,戸公,ghung,hóng,hung4
葓,U+8453,匣開一平東,戸公,ghung,hóng,hung4
谼,U+8C3C,匣開一平東,戸公,ghung,hóng,hung4
䉺,U+427A,匣開一平東,戸公,ghung,hóng,hong2；hung4
烘,U+70D8,"匣開一去東
匣開一平東
曉開一去東
曉開一平東","胡貢
戸公
呼貢
呼東","ghungh
ghung
hungh
hung",hōng,hong3；hung1；hung3；hung4
洚,U+6D1A,"匣開一平冬
匣開一平東
匣開二平江
見開二去江","戸冬
戸公
下江
古巷","ghuung
ghung
ghrung
krungh",hóng；jiàng,gong3；hung4
渱,U+6E31,匣開一平東,戸公,ghung,gòng；hóng,hung4
𨹁,U+28E41,"匣開一平東
見開一去東","戸公
古送","ghung
kungh",hóng,
䧆,U+49C6,匣開一平東,戸公,ghung,hóng,hung4
䪦,U+4AA6,匣開一平東,戸公,ghung,hóng,hung4
𦏺,U+263FA,匣開一平東,戸公,ghung,gòng；hóng,
䫹,U+4AF9,匣開一平東,戸公,ghung,hóng,hung4
䂫,U+40AB,匣開一平東,戸公,ghung,hóng；hāng,haang1
𨾊,U+28F8A,匣開一平東,戸公,ghung,hóng,
叢,U+53E2,從開一平東,徂紅,zung,cóng,cung4
藂,U+85C2,從開一平東,徂紅,zung,còng；cóng,cung4
䕺,U+457A,從開一平東,徂紅,zung,cóng,cung4
𥵫,U+25D6B,從開一平東,徂紅,zung,cóng,
翁,U+7FC1,影開一平東,烏紅,qung,wēng；wěng,jung1
螉,U+8789,影開一平東,烏紅,qung,wēng,jung1
䱵,U+4C75,影開一平東,烏紅,qung,wēng,jung1
蓊,U+84CA,"影開一上東
影開一平東","烏孔
烏紅","qungx
qung",wěng,jung2
䈵,U+4235,"影開一上東
影開一平東","烏孔
烏紅","qungx
qung",wēng,jung1
䩺,U+4A7A,影開一平東,烏紅,qung,wēng,jung1
㮬,U+3BAC,影開一平東,烏紅,qung,wēng,jung1
𩔚,U+2951A,影開一平東,烏紅,qung,wēng；wěng,
怱,U+6031,清開一平東,倉紅,chung,cōng,cung1
忩,U+5FE9,清開一平東,倉紅,chung,cōng,cung1
葱,U+8471,清開一平東,倉紅,chung,chuāng；cōng,cung1
楤,U+6964,清開一平東,倉紅,chung,cōng；sǒng,sung2
𨍉,U+28349,清開一平東,倉紅,chung,cōng；zǒng,
聦,U+8066,清開一平東,倉紅,chung,cōng,cung1
繱,U+7E71,清開一平東,倉紅,chung,cōng,cung1
𤧚,U+249DA,清開一平東,倉紅,chung,cōng,cung1
騘,U+9A18,清開一平東,倉紅,chung,cōng,cung1
䗓,U+45D3,清開一平東,倉紅,chung,cōng,cung1
囪,U+56EA,"初開二平江
清開一平東","楚江
倉紅","chrung
chung",cōng,cung1
𨣭,U+288ED,清開一平東,倉紅,chung,,
鍯,U+936F,清開一平東,倉紅,chung,cōng,cung1
㷓,U+3DD3,"清開一平東
精開一上東","倉紅
作孔","chung
cungx",zǒng,zung2
𢉛,U+2225B,"清開一平東
精開一上東","倉紅
作孔","chung
cungx",,
通,U+901A,透開一平東,他紅,thung,tòng；tōng,tung1
蓪,U+84EA,透開一平東,他紅,thung,tōng,tung1
恫,U+606B,"定開一去東
透開一平東","徒弄
他紅","dungh
thung",dòng；tōng,dung6；tung1
痌,U+75CC,透開一平東,他紅,thung,tóng；tōng,tung1
俑,U+4FD1,"以開三上鍾
透開一平東","余隴
他紅","jyungx
thung",yǒng,jung2
𧳆,U+27CC6,透開一平東,他紅,thung,tóng；tōng,
𨀜,U+2801C,透開一平東,他紅,thung,tōng,
葼,U+847C,精開一平東,子紅,cung,zōng,zung1
鬷,U+9B37,精開一平東,子紅,cung,zěng；zōng,zung1
嵕,U+5D55,精開一平東,子紅,cung,zōng,zung1
猣,U+7323,"精開一上東
精開一平東","作孔
子紅","cungx
cung",zōng,zung1
豵,U+8C75,"精開一平東
精開三平鍾","子紅
即容","cung
cyung",zōng,zung1
鯼,U+9BFC,"精開一去東
精開一平東","作弄
子紅","cungh
cung",zōng,zung1
椶,U+6936,精開一平東,子紅,cung,zōng,zung1
騣,U+9A23,精開一平東,子紅,cung,zōng,zung1
𩮀,U+29B80,"精開一上東
精開一平東","作孔
子紅","cungx
cung",sōng；zōng；zǒng,
䗥,U+45E5,"清開三平鍾
精開一平東","七恭
子紅","chyung
cung",zōng,zung1
嵸,U+5D78,"精開一上東
精開一平東","作孔
子紅","cungx
cung",zōng,zung1
艐,U+8250,"溪開一去歌
精開一平東
見開二去皆","口箇
子紅
古拜","khah
cung
kraih",jiè；kè；zōng,ho3
蝬,U+876C,精開一平東,子紅,cung,zōng,zung1
堫,U+582B,"初開二平江
精開一平東","楚江
子紅","chrung
cung",zōng,zung1
𥓻,U+254FB,精開一平東,子紅,cung,zōng,
翪,U+7FEA,"精開一上東
精開一平東","作孔
子紅","cungx
cung",zōng,zung1
緵,U+7DF5,"精開一去東
精開一平東","作弄
子紅","cungh
cung",zòng；zōng,zung1
㚇,U+3687,"精開一去東
精開一平東","作弄
子紅","cungh
cung",zōng,zung1
㣭,U+38ED,精開一平東,子紅,cung,zōng,zung1
稯,U+7A2F,精開一平東,子紅,cung,zōng；zǒng,zung1
鬉,U+9B09,精開一平東,子紅,cung,zōng,zung1
蓬,U+84EC,並開一平東,薄紅,bung,pèng；péng,fung4；pung4
𥭗,U+25B57,並開一平東,薄紅,bung,,
篷,U+7BF7,並開一平東,薄紅,bung,peng；péng,pung4
髼,U+9AFC,並開一平東,薄紅,bung,péng,pung4
蜂,U+8702,"並開一平東
滂開三平鍾","薄紅
敷容","bung
phyung",fēng,fung1
𧚋,U+2768B,並開一平東,薄紅,bung,péng,
韸,U+97F8,並開一平東,薄紅,bung,péng,pung4
䮾,U+4BBE,"並開一平東
來開二平江","薄紅
呂江","bung
lrung",lòng；lóng,pung4
𩖛,U+2959B,"並開一平東
並開三平幽","薄紅
皮彪","bung
by",péng,
叿,U+53FF,曉開一平東,呼東,hung,hóng；hōng,hung1
谾,U+8C3E,"曉開一平東
曉開二平江","呼東
許江","hung
hrung",hōng；lóng,hung1
𩐠,U+29420,曉開一平東,呼東,hung,hōng,hung1
𩗄,U+295C4,曉開一平東,呼東,hung,hōng,
檧,U+6AA7,"心開一上東
心開一平東","先孔
蘇公","sungx
sung",sōng,sung1
憽,U+61BD,心開一平東,蘇公,sung,sōng,sung1
㬝,U+3B1D,心開一平東,蘇公,sung,céng；sōng,cang4
冬,U+51AC,"定開一平冬
端開一平冬","徒冬
都宗","duung
tuung",dōng,dung1
𠔙,U+20519,端開一平冬,都宗,tuung,,
苳,U+82F3,端開一平冬,都宗,tuung,dōng,dung2
䳉,U+4CC9,端開一平冬,都宗,tuung,dàn；dōng,dung1
笗,U+7B17,端開一平冬,都宗,tuung,dōng,dung1
𩂓,U+29093,端開一平冬,都宗,tuung,dōng,dung1
𧲴,U+27CB4,端開一平冬,都宗,tuung,dōng,
